iter	Passed	Remaining
0	84	84382
1	155	77635
2	217	72238
3	285	71158
4	350	69729
5	423	70235
6	480	68125
7	545	67677
8	612	67393
9	668	66179
10	726	65310
11	791	65173
12	854	64842
13	913	64311
14	974	63972
15	1036	63724
16	1103	63813
17	1179	64370
18	1249	64515
19	1322	64783
20	1384	64534
21	1440	64055
22	1505	63942
23	1565	63661
24	1623	63312
25	1679	62921
26	1743	62813
27	1798	62429
28	1867	62540
29	1922	62154
30	1981	61932
31	2048	61968
32	2103	61648
33	2158	61337
34	2221	61240
35	2286	61227
36	2353	61249
37	2421	61304
38	2490	61378
39	2544	61079
40	2609	61041
41	2660	60693
42	2721	60560
43	2787	60556
44	2850	60493
45	2914	60436
46	2972	60280
47	3035	60213
48	3088	59939
49	3157	59993
50	3222	59966
51	3282	59841
52	3337	59632
53	3398	59535
54	3449	59265
55	3510	59176
56	3572	59098
57	3638	59099
58	3692	58885
59	3744	58661
60	3807	58610
61	3868	58522
62	3939	58595
63	4006	58592
64	4058	58380
65	4114	58222
66	4176	58160
67	4244	58177
68	4304	58084
69	4355	57862
70	4397	57532
71	4453	57403
72	4506	57220
73	4564	57119
74	4620	56984
75	4677	56864
76	4729	56693
77	4787	56591
78	4845	56485
79	4898	56329
80	4958	56254
81	5010	56096
82	5075	56069
83	5129	55934
84	5183	55797
85	5243	55725
86	5303	55660
87	5369	55644
88	5432	55609
89	5487	55481
90	5536	55307
91	5592	55191
92	5654	55150
93	5702	54965
94	5766	54937
95	5820	54808
96	5883	54768
97	5945	54725
98	6013	54730
99	6079	54716
100	6139	54644
101	6185	54460
102	6251	54442
103	6312	54386
104	6364	54253
105	6416	54117
106	6484	54118
107	6544	54054
108	6591	53881
109	6646	53776
110	6704	53692
111	6749	53513
112	6817	53512
113	6872	53414
114	6926	53307
115	6991	53282
116	7044	53167
117	7119	53216
118	7165	53048
119	7223	52972
120	7279	52884
121	7342	52843
122	7401	52774
123	7472	52786
124	7520	52645
125	7576	52556
126	7633	52474
127	7695	52427
128	7762	52408
129	7819	52331
130	7872	52221
131	7946	52251
132	7992	52101
133	8045	51997
134	8110	51966
135	8177	51949
136	8225	51814
137	8289	51777
138	8349	51721
139	8417	51704
140	8478	51652
141	8537	51583
142	8593	51499
143	8658	51468
144	8716	51396
145	8778	51348
146	8845	51325
147	8900	51238
148	8959	51170
149	9014	51081
150	9085	51085
151	9142	51007
